,교과목,tel,교과구분,교과코드,학점,강의실,개설학과,강의타입
1,공학을위한컴퓨터과학적사고,062-530-4206,교선,CLT0797,3.0,AI융합-401,인공지능학부,일반과목
2,C프로그래밍및실습,062-530-4206,전선,CIS9017,3.0,공7-222,인공지능학부,실험실습과목
3,인공지능기초,062-530-4206,교선,CLT0961,3.0,이러닝,인공지능학부,이러닝과목
4,경영통계,062-530-1430,전선,BUS2001,3.0,경2-201,경영학부,일반과목
5,재무관리,062-530-1430,전필,BUS2017,3.0,경1-210,경영학부,일반과목
6,기업윤리,062-530-1430,전선,BUS4028,3.0,경2-301,경영학부,일반과목
7,조직행동론,062-530-1430,전필,BUS2012,3.0,경1-210,경영학부,일반과목
8,노사관계론,062-530-1430,전선,BUS4003,3.0,경2-302,경영학부,일반과목
9,경제학개론,062-530-1540,교선,CLT0763,3.0,경1-150,경제학과,일반과목
10,경제학개론,062-530-1541,교선,CLT0764,3.0,경1-150,경제학과,일반과목
11,현장실습1,062-530-1660,전선,MAE4081,2.0,현장실습,기계공학부,현장실습과목
12,현장실습2,062-530-1660,전선,MAE4082,3.0,현장실습,기계공학부,현장실습과목
13,생활응용컴퓨터,062-530-3420,교선,CLT0670,3.0,이러닝,소프트웨어공학과,이러닝과목
14,지능형ICT융합현장실습,062-530-1750,전선,ECE9041,2.0,(4주과정 현장실습),소프트웨어공학과,현장실습과목
15,공학을위한컴퓨터과학적사고,062-530-3420,교선,CLT0868,3.0,공7-222,소프트웨어공학과,일반과목
16,실무소프트웨어프로젝트1,062-530-1750,전선,SWE0001,3.0,공7-217,소프트웨어공학과,일반과목
17,현장실습,062-530-1700,전선,MSE1006,2.0,현장실습,신소재공학부,현장실습과목
18,클라우드컴퓨팅,062-530-1751,전선,ECE9054,3.0,공7-118,컴퓨터정보통신공학과,일반과목
19,지능형ICT융합현장실습,062-530-1751,전선,ECE9041,2.0,현장실습,컴퓨터정보통신공학과,현장실습과목
20,어드벤쳐프로젝트,062-530-1751,전선,ECE9053,3.0,공7-118,컴퓨터정보통신공학과,일반과목
21,화학공학현장실습1,062-530-1850,전선,CHE9027,2.0,현장실습,화학공학부,현장실습과목
22,CAD 3D,061-659-6896,전선,SPC6002,3.0,이609,기계IT융합공학과,실험실습과목
23,어드벤처디자인1,061-659-6896,전선,SPC6006,3.0,이604,기계IT융합공학과,일반과목
24,플랜트CAD2,061-659-6896,전선,MIC2008,3.0,이501,기계IT융합공학과,실험실습과목
25,플랜트검사공학,061-659-6896,전선,MIC3001,3.0,2공108,기계IT융합공학과,일반과목
26,현장실습1,061-659-7710,전공,MTS0019,2.0,현장실습,메카트로닉스공학과,현장실습과목
27,CAD 3D,061-659-6896,전선,SPC6002,3.0,이609,스마트융합공정공학과,실험실습과목
28,어드벤처디자인1,061-659-6896,전선,SPC6006,3.0,2공302,스마트융합공정공학과,일반과목
29,공정계장설계,061-659-6896,전선,SCP3014,3.0,이605,스마트융합공정공학과,일반과목
30,창의융합설계,061-659-6896,전선,SCP3023,3.0,이603,스마트융합공정공학과,실험실습과목
31,전기전자기초실험,061-659-6896,전필,SEC1040,3.0,이603,스마트전기제어공학과,일반과목
32,문제탐색프로젝트,061-659-6896,전선,SPC6003,3.0,이619,스마트전기제어공학과,일반과목
33,플랜트설계공학,061-659-6896,전선,SEC2005,3.0,이619,스마트전기제어공학과,일반과목
